Логан	Джеймс Мэнголд	2017	Канада, Австралия, США	Хью Джекман, Патрик Стюарт, Дафни Кин	7,435	25.12.2017	8
Джентльмены удачи	Александр Серый	1971	СССР	Евгений Леонов, Георгий Вицин, Раднэр Муратов	8,523	26.12.2017	9
Последний богатырь	Дмитрий Дьяченко	2017	Россия	Виктор Хориняк, Мила Сивацкая, Екатерина Вилкова	6,943	05.01.2018	7
Ветреная река	Тейлор Шеридан	2016	Великобритания, Канада, США	Джереми Реннер, Элизабет Олсен, Джон Бернтал	7,500	04.01.2018	8
Служебный роман	Эльдар Рязанов	1977	СССР	Андрей Мягков, Алиса Фрейндлих, Светлана Немоляева	8,289	04.01.2018	9
